Abbrev,Name,Count,Jurisdiction,Citation Abbrev,Start Date,End Date,In Use,Last Modified
tax,United States Tax Court,639,Federal Special,Tax Ct.,Unknown,Unknown,Yes,2013-08-14T15:20
mc,United States Court of Military Commission Review,7,Federal Special,M.C.,Unknown,Unknown,Yes,2014-11-24T09:05
mspb,Merit Systems Protection Board,176,Federal Special,MSPB,Unknown,Unknown,Yes,2014-09-02T16:05
nmcca,Navy-Marine Corps Court of Criminal Appeals,717,Federal Special,N.M.C.C.A.,Unknown,Unknown,Yes,2014-09-18T18:48
cavc,United States Court of Appeals for Veterans Claims,865,Federal Special,Vet. App.,Unknown,Unknown,Yes,2013-08-14T15:20
bva,Board of Veterans' Appeals,0,Federal Special,Board of Vet. App.,Unknown,Unknown,Yes,2014-09-18T18:06
eca,Emergency Court of Appeals,97,Federal Special,Emer. Ct. App.,1/30/1942,4/18/1962,Yes,2013-08-14T15:20
tecoa,Temporary Emergency Court of Appeals,0,Federal Special,Temp. Emerg. Ct. App.,12/1/1971,10/29/1992,Yes,2013-08-14T15:20
fiscr,Foreign Intelligence Surveillance Court of Review,2,Federal Special,FISA Ct. Rev.,10/25/1978,Unknown,Yes,2014-05-27T08:58
fisc,Foreign Intelligence Surveillance Court,5,Federal Special,FISA Ct.,10/25/1978,Unknown,Yes,2014-05-27T08:58
reglrailreorgct,Special Court under the Regional Rail Reorganization Act,40,Federal Special,Regl. Rail Reorg. Act,1/1/1973,3/1/1996,Yes,2013-08-14T15:20
cit,United States Court of International Trade,3960,Federal Special,Ct. Intl. Trade,Unknown,Unknown,Yes,2013-08-14T15:20
bap1,Bankruptcy Appellate Panel of the First Circuit,283,Federal Bankruptcy Panel,1st Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:27
bap2,Bankruptcy Appellate Panel of the Second Circuit,27,Federal Bankruptcy Panel,2d Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
bap6,Bankruptcy Appellate Panel of the Sixth Circuit,254,Federal Bankruptcy Panel,6th Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
bap8,United States Bankruptcy Appellate Panel for the Eighth Circuit,514,Federal Bankruptcy Panel,8th Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
bap9,United States Bankruptcy Appellate Panel for the Ninth Circuit,1488,Federal Bankruptcy Panel,9th Cir. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
bap10,Bankruptcy Appellate Panel of the Tenth Circuit,401,Federal Bankruptcy Panel,10th Cir. BAP,Unknown,Unknown,Yes,2014-09-02T15:59
bapme,Bankruptcy Appellate Panel D. Maine,2,Federal Bankruptcy Panel,Me. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
bapma,Bankruptcy Appellate Panel of Massachusetts,3,Federal Bankruptcy Panel,Mass. BAP,Unknown,Unknown,Yes,2013-10-24T18:28
almb,United States Bankruptcy Court M.D. Alabama,180,Federal Bankruptcy,Bankr. M.D. Ala.,Unknown,Unknown,Yes,2013-08-14T16:55
alnb,United States Bankruptcy Court N.D. Alabama,459,Federal Bankruptcy,Bankr. N.D. Ala.,Unknown,Unknown,Yes,2013-08-14T18:21
alsb,United States Bankruptcy Court S.D. Alabama,114,Federal Bankruptcy,Bankr. S.D. Ala.,Unknown,Unknown,Yes,2013-08-15T09:44
akb,United States Bankruptcy Court D. Alaska,51,Federal Bankruptcy,Bankr. D. Alaska,Unknown,Unknown,Yes,2013-08-14T17:32
arb,United States Bankruptcy Court D. Arizona,355,Federal Bankruptcy,Bankr. D. Ariz.,Unknown,Unknown,Yes,2013-08-14T22:40
areb,United States Bankruptcy Court E.D. Arkansas,520,Federal Bankruptcy,Bankr. E.D. Ark.,Unknown,Unknown,Yes,2013-08-14T22:23
arwb,United States Bankruptcy Court W.D. Arkansas,241,Federal Bankruptcy,Bankr. W.D. Ark.,Unknown,Unknown,Yes,2013-08-14T18:00
cacb,United States Bankruptcy Court C.D. California,568,Federal Bankruptcy,Bankr. C.D. Cal.,Unknown,Unknown,Yes,2013-08-14T17:19
caeb,United States Bankruptcy Court E.D. California,274,Federal Bankruptcy,Bankr. E.D. Cal.,Unknown,Unknown,Yes,2013-08-14T18:03
canb,United States Bankruptcy Court N.D. California,337,Federal Bankruptcy,Bankr. N.D. Cal.,Unknown,Unknown,Yes,2013-08-14T17:30
